dataset,slope_seconds_per_record,intercept_seconds,linear_fit_r_squared,minimum_rows,maximum_rows
CICIDS2017,3.990078640909268e-06,0.0025107373334274,0.9991153574051668,1000,200001
CSE-CIC-IDS2018,2.968985501924472e-06,0.0037323523493452,0.9987685337033164,1000,200001
