dataset,configuration,paired_evaluations,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,balanced_accuracy_mean,balanced_accuracy_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,cohen_kappa_mean,cohen_kappa_std,mae_mean,mae_std,runtime_seconds_mean,runtime_seconds_std
CICIDS2017,C0_Original_XGBoost,50,0.9978957715333814,0.00031650593894940436,0.9988115192333359,0.00017898748723694794,0.9987278780421788,0.00026078307566480645,0.9999569571758562,1.33318098405415e-05,0.9997943995110328,5.257235754514441e-05,0.9957915474888668,0.0006330091626799935,0.001967252212369258,0.00013971890782987716,2.222041674000211,0.1651823456804752
CICIDS2017,C1_Unweighted_Multiview,50,0.997103315435076,0.0005289854912152466,0.9983631687801601,0.00029949459151834193,0.9983576847972002,0.0003092010687547269,0.9998845767793462,3.595311041272343e-05,0.9995217856583435,0.0001118033295347298,0.994206645585111,0.0010579615598091342,0.018496250134128128,0.00024601850844474613,5.166283735999604,0.09434665223826563
CICIDS2017,C2_Global_Weighted_Multiview,50,0.9978024024592314,0.0003770149370224439,0.9987586732236757,0.00021329698604610235,0.99870530789246,0.000284420845083906,0.9999110845100805,4.242267562275625e-05,0.9996066662841036,0.00016784260363887472,0.9956048107038405,0.000754025853894731,0.008206689438455119,0.005012298041056873,8.585262383999943,0.3046051934385572
CICIDS2017,C3_Full_FERF,50,0.9978085594756777,0.0003664800601616588,0.9987621606341177,0.00020732565567913817,0.9987062466811217,0.00028424833389050863,0.9999132303042569,4.412165826906887e-05,0.9996179446718932,0.00017656525506250703,0.9956171246190322,0.0007329563261181674,0.007732637148765744,0.004709981242284055,8.535910851997324,0.27657125461434723
CSE-CIC-IDS2018,C0_Original_XGBoost,50,0.9730377914988412,0.0013212150954379294,0.9863883222239752,0.0006727545128502028,0.9699350485568675,0.0013517871883527977,0.9951675633707228,0.00036439819922033445,0.983783371672804,0.001045360634591008,0.9460762416477607,0.0026425765808519735,0.01805272995194975,0.00038819134455057955,2.3178177299999514,0.18098049438819908
CSE-CIC-IDS2018,C1_Unweighted_Multiview,50,0.9627002066816023,0.0019407979812765097,0.9810580882782749,0.0010151388868067305,0.9650636631745207,0.0013209493829723987,0.9789515865200705,0.0012075364601896409,0.9650035952356414,0.0016563719586026328,0.9254012392893527,0.003880753433269296,0.07601174824733575,0.00040537052042578304,4.77113022000267,0.11137931783719063
CSE-CIC-IDS2018,C2_Global_Weighted_Multiview,50,0.9740315364047006,0.0010347914115053601,0.9869079116593146,0.0005270565185787103,0.9696368316489591,0.001393634637574762,0.9930116945174546,0.003703922545704497,0.9806066081899975,0.00407401111921171,0.9480643188587983,0.0020697086199469475,0.024263236079295068,0.01501658841577551,8.503162656001514,1.193165324109177
CSE-CIC-IDS2018,C3_Full_FERF,50,0.97392517064363,0.0011027220054628736,0.9868524835727331,0.0005612851220429142,0.969660217919767,0.001394433407546639,0.992921745628648,0.003694876021605493,0.9804384958217723,0.004278747090121205,0.9478515174934589,0.0022055879802671085,0.024752958389679593,0.015121018364913875,8.549408590002276,1.273664476735551
