dataset,configuration,requested_degradation_fraction,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,mcc_mean,mcc_std,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std
CICIDS2017,A2_Unweighted_Multiview_Mean,0.0,0.998730006349968,0.0,0.9987987554656468,0.0,0.9935973090994924,0.0,0.9989024679639298,0.0,0.9962428258682918,0.0,0.9954837980916886,0.0,0.9999141364429092,0.0,0.9996282880159716,0.0
CICIDS2017,A2_Unweighted_Multiview_Mean,0.1,0.988884055579722,0.0002308776016724,0.9929415918241024,0.0001352458671683,0.938906271728267,0.0012180362098703,0.99906264831514,3.979712821842419e-05,0.9680504728161982,0.000641992690339,0.9620093021338788,0.0007539195504589,0.9997787537045418,2.2830945718863488e-05,0.9992023008554288,2.1355526036913645e-05
CICIDS2017,A2_Unweighted_Multiview_Mean,0.3,0.8533807330963346,0.0008774706835175,0.9115964385763256,0.0004892547746804,0.5348306167763577,0.0014930256217839,0.9994186046511628,9.971367058595075e-05,0.6967823103122268,0.001243741662116,0.6634386132995858,0.0013059287862247,0.9995042518304236,3.4501899081940585e-05,0.998100368760266,0.000100536301664
CICIDS2017,A2_Unweighted_Multiview_Mean,0.5,0.5743381283093585,0.001136119312527,0.7439056707732279,0.0007106428390196,0.2836292134102785,0.0005504369447615,0.9997093023255814,9.927147918062806e-05,0.4418890612019874,0.0006748431255341,0.3718852043921089,0.0009220735955021,0.9982950101819664,9.625971647430947e-05,0.991488482462044,0.0002658224750117
CICIDS2017,A3_Global_View_Weights_Only,0.0,0.9989200053999732,0.0,0.9991022095853256,0.0,0.9942454110842236,0.0,0.99937707641196,0.0,0.9968046391905084,0.0,0.996159611525129,0.0,0.9999225088200314,0.0,0.9996465492090508,0.0
CICIDS2017,A3_Global_View_Weights_Only,0.1,0.9152314238428808,0.0005154753561955,0.948803146883139,0.0002996198402867,0.6655035728367621,0.0013592080798538,0.9994482676791646,6.151056405233182e-05,0.7989850859932504,0.0009712513219891,0.7728183513301062,0.0010432763623776,0.9997268737573008,1.2095275987354398e-05,0.9988783072259648,1.726678332638626e-05
CICIDS2017,A3_Global_View_Weights_Only,0.3,0.7496102519487403,0.0004513623408252,0.8492586494185191,0.000259301629533,0.4023059550767584,0.0004314260472454,0.9995847176079732,3.632964141526194e-05,0.5737092231567995,0.0004335608771839,0.5300316377542689,0.0004752579907673,0.9992498258588368,3.050857864227485e-05,0.9969990975213792,0.0001086119020398
CICIDS2017,A3_Global_View_Weights_Only,0.5,0.5830490847545763,0.0006706455862329,0.7491417762069827,0.0004092526699765,0.2878483681285653,0.0003318960146488,0.9997033697199808,2.0974928250664057e-05,0.4469924172674624,0.0004015776712055,0.3786423166851449,0.0005334989250297,0.9972463308727534,9.9302167883078e-05,0.9877992361767388,0.0004167635408749
CICIDS2017,A7_Full_FERF,0.0,0.9989200053999732,0.0,0.9991022095853256,0.0,0.9942454110842236,0.0,0.99937707641196,0.0,0.9968046391905084,0.0,0.996159611525129,0.0,0.999919458124526,0.0,0.9996285713247096,0.0
CICIDS2017,A7_Full_FERF,0.1,0.9978630106849464,5.974917823929559e-05,0.9983601469192122,4.194111056173182e-05,0.9883391071086204,0.0003599290225116,0.999110109159943,6.632854703070958e-05,0.993695391282148,0.000175090093455,0.9924300537196707,0.0002096638896342,0.9998780575357562,2.407461766389841e-06,0.9994747679028276,1.4077320145866734e-05
CICIDS2017,A7_Full_FERF,0.3,0.9879040604796976,0.0002334618918669,0.992137046839786,0.0001312165979809,0.9342424349864812,0.0012464221950088,0.9985227812055054,0.0001156477734314,0.9653133118153072,0.0006446847146661,0.9587760293391,0.0007547613675233,0.9996940210382412,1.7417650757134123e-05,0.998639228489816,4.211196909135858e-05
CICIDS2017,A7_Full_FERF,0.5,0.9378043109784452,0.000687586556177,0.9617297132452112,0.0005220071370671,0.731208385873907,0.0021037944541013,0.9978227337446606,0.0003287113236164,0.8439586228489745,0.0014914547559972,0.8214624968507781,0.001672959172315,0.9982151293380872,6.955683416937882e-05,0.990558208454264,0.0003070827929898
CSE-CIC-IDS2018,A2_Unweighted_Multiview_Mean,0.0,0.9815900920495398,0.0,0.9662621143037808,0.0,0.932402327514547,0.0,0.944461284564346,0.0,0.9383930662918716,0.0,0.9275981549349868,0.0,0.9806334598724324,0.0,0.9669356107677444,0.0
CSE-CIC-IDS2018,A2_Unweighted_Multiview_Mean,0.1,0.962727186364068,0.0004469541389393,0.9560596186401338,0.0002970335065238,0.8272682549643033,0.0021532558033693,0.9465764036239938,0.0002226465108084,0.8829088540089833,0.0012458709769352,0.8636274873867151,0.001411054626041,0.97649147108095,0.0002717956738827,0.963183777313789,0.0002321685005752
CSE-CIC-IDS2018,A2_Unweighted_Multiview_Mean,0.3,0.7541432292838536,0.0012708329354388,0.8397705255565594,0.0006150536642058,0.372811941892641,0.0012057403863939,0.9615573742885049,0.0003932086860717,0.5373015199361996,0.001201093139612,0.4970478871263772,0.0012339207508291,0.9740301004284,0.0002264322911229,0.9577135731440848,0.0002271676809416
CSE-CIC-IDS2018,A2_Unweighted_Multiview_Mean,0.5,0.4257318713406433,0.0005761958694532,0.65563935266852,0.0002719382587308,0.2032931559862799,0.0001420736230047,0.9826344683574147,0.0002593597158489,0.3368887619440393,0.0001863506968329,0.2458446195528193,0.0002794779225479,0.9703978467103974,0.0002772273758186,0.9440130641668072,0.0005478168392202
CSE-CIC-IDS2018,A3_Global_View_Weights_Only,0.0,0.9873850630746844,0.0,0.9707631725200664,0.0,0.9672215725390384,0.0,0.9471220235088074,0.0,0.9570662809495448,0.0,0.949745480106836,0.0,0.9953540272668664,0.0,0.9844229377488984,0.0
CSE-CIC-IDS2018,A3_Global_View_Weights_Only,0.1,0.9034084829575852,0.0003896389120857,0.9236767590570168,0.0001483736166884,0.6122860581478717,0.0010730459079788,0.952504125829376,0.0003421488019723,0.745409238601096,0.0007143187878454,0.7148802243333585,0.0007134108391239,0.9851002032025312,8.905707409836992e-05,0.933169388951564,0.0007268163281148
CSE-CIC-IDS2018,A3_Global_View_Weights_Only,0.3,0.7352823235883821,0.0010682256732125,0.8294273803927741,0.0007442872840996,0.3554977520436075,0.0009719926312584,0.9633289549021588,0.0004086289013668,0.5193418433474242,0.0010767840417627,0.4777242638400313,0.0012669407015888,0.9386391595316954,0.0005454107484426,0.7759287301428492,0.0022765732942485
CSE-CIC-IDS2018,A3_Global_View_Weights_Only,0.5,0.568042159789201,0.0009513626800899,0.7355536248596881,0.0007533646630859,0.2524571541780786,0.0004765133926208,0.9738035094809876,0.000597480239585,0.4009646588568678,0.0006414517693176,0.338596018980391,0.0010055458872301,0.8564026119649896,0.0005500235077976,0.5988122786432724,0.0012700048719265
CSE-CIC-IDS2018,A7_Full_FERF,0.0,0.9873850630746844,0.0,0.9707631725200664,0.0,0.9672215725390384,0.0,0.9471220235088074,0.0,0.9570662809495448,0.0,0.949745480106836,0.0,0.9953540272668664,0.0,0.9844229377487156,0.0
CSE-CIC-IDS2018,A7_Full_FERF,0.1,0.9034084829575852,0.0003896389120857,0.9236767590570168,0.0001483736166884,0.6122860581478717,0.0010730459079788,0.952504125829376,0.0003421488019723,0.745409238601096,0.0007143187878454,0.7148802243333585,0.0007134108391239,0.9851002032025312,8.905707409833868e-05,0.9331693889514062,0.0007268163281419
CSE-CIC-IDS2018,A7_Full_FERF,0.3,0.7352823235883821,0.0010682256732125,0.8294273803927741,0.0007442872840996,0.3554977520436075,0.0009719926312584,0.9633289549021588,0.0004086289013668,0.5193418433474242,0.0010767840417627,0.4777242638400313,0.0012669407015888,0.9386391595316954,0.0005454107484426,0.7759287301428118,0.0022765732942776
CSE-CIC-IDS2018,A7_Full_FERF,0.5,0.568042159789201,0.0009513626800899,0.7355536248596881,0.0007533646630859,0.2524571541780786,0.0004765133926208,0.9738035094809876,0.000597480239585,0.4009646588568678,0.0006414517693176,0.338596018980391,0.0010055458872301,0.8564026119649896,0.0005500235077977,0.598812278643163,0.0012700048717832
