dataset,views,test_rows,historical_view_training_seconds,historical_view_training_minutes,serialized_model_size_mb,full_test_model_inference_seconds_mean,full_test_model_inference_seconds_std,full_test_ferf_seconds_mean,full_test_ferf_seconds_std,full_test_end_to_end_seconds_mean,full_test_end_to_end_seconds_std,end_to_end_latency_ms_per_record,end_to_end_throughput_records_per_second,ferf_overhead_percent_of_end_to_end,baseline_rss_mb,peak_rss_mb,peak_rss_delta_mb,maximum_saved_probability_difference
CICIDS2017,5,200001,29.506388000037987,0.4917731333339664,7.908527374267578,0.7804211333423154,0.0207413765801085,0.0332096666728224,0.000568695400912,0.8136308000151379,0.021310046256599,0.0040681336594073,245812.9657779412,4.081662920357061,1770.62109375,2109.76171875,326.71484375,1.1102230246251563e-16
CSE-CIC-IDS2018,6,200001,21.17872329999227,0.3529787216665378,9.368330001831056,0.5629099000022203,0.0268803303494039,0.0393211000045994,0.0002552050309647,0.6022310000068197,0.0270244830041285,0.0030111399443343,332100.1409720442,6.529238781157754,1969.78125,2193.1328125,211.38671875,1.1102230246251563e-16
